Binary Insertionsort,3,18
Binary Insertionsort,4,31
Binary Insertionsort,5,47
Binary Insertionsort,6,66
Binary Insertionsort,7,86
Binary Insertionsort,8,108
Binary Insertionsort,9,130
Binary Insertionsort,10,154
Binary Insertionsort,20,470
Binary Insertionsort,30,914
Binary Insertionsort,40,1463
Binary Insertionsort,50,2143
Binary Insertionsort,60,2878
Binary Insertionsort,70,3647
Binary Insertionsort,80,4622
Binary Insertionsort,90,5671
Binary Insertionsort,100,6771
Binary Insertionsort,200,23107
Binary Insertionsort,300,49448
Binary Insertionsort,400,83307
Binary Insertionsort,500,125815
Binary Insertionsort,600,185840
Binary Insertionsort,700,244791
Binary Insertionsort,800,313576
Binary Insertionsort,900,393743
Binary Insertionsort,1000,484707
Binary Insertionsort,2000,1880328
Binary Insertionsort,3000,4186668
Binary Insertionsort,4000,7447540
Binary Insertionsort,5000,11187975
Binary Insertionsort,6000,16353591
Binary Insertionsort,7000,22401760
Binary Insertionsort,8000,28714120
Binary Insertionsort,9000,35834229
Binary Insertionsort,10000,45229490
Binary Insertionsort,20000,181095244
Binary Insertionsort,30000,392055589
Binary Insertionsort,40000,711720102
Binary Insertionsort,50000,1120872579
Binary Insertionsort,60000,1607507250
Binary Insertionsort,70000,2233362675
Binary Insertionsort,80000,2867813740
Binary Insertionsort,90000,3636813747
Binary Insertionsort,100000,4547033441
Bubblesort,3,21
Bubblesort,4,41
Bubblesort,5,66
Bubblesort,6,96
Bubblesort,7,133
Bubblesort,8,177
Bubblesort,9,224
Bubblesort,10,280
Bubblesort,20,1132
Bubblesort,30,2572
Bubblesort,40,4570
Bubblesort,50,7148
Bubblesort,60,10302
Bubblesort,70,14043
Bubblesort,80,18537
Bubblesort,90,23341
Bubblesort,100,28823
Bubblesort,200,115655
Bubblesort,300,259682
Bubblesort,400,466369
Bubblesort,500,719257
Bubblesort,600,1037246
Bubblesort,700,1417737
Bubblesort,800,1844259
Bubblesort,900,2354679
Bubblesort,1000,2847003
Bubblesort,2000,11601311
Bubblesort,3000,25937604
Bubblesort,4000,46631969
Bubblesort,5000,71828888
Bubblesort,6000,105283946
Bubblesort,7000,142620175
Bubblesort,8000,185565001
Bubblesort,9000,234805588
Bubblesort,10000,290141305
Bubblesort,20000,1152474915
Bubblesort,30000,2613472056
Bubblesort,40000,4585804827
Bubblesort,50000,7195662855
Bubblesort,60000,10452596365
Bubblesort,70000,14247953980
Bubblesort,80000,18558728058
Bubblesort,90000,23522807152
Bubblesort,100000,28784782888
Combsort,3,21
Combsort,4,38
Combsort,5,74
Combsort,6,112
Combsort,7,154
Combsort,8,183
Combsort,9,241
Combsort,10,262
Combsort,20,702
Combsort,30,1257
Combsort,40,1978
Combsort,50,2669
Combsort,60,3234
Combsort,70,4034
Combsort,80,4941
Combsort,90,5611
Combsort,100,6630
Combsort,200,15952
Combsort,300,26860
Combsort,400,37721
Combsort,500,49933
Combsort,600,62748
Combsort,700,76260
Combsort,800,87459
Combsort,900,103611
Combsort,1000,114970
Combsort,2000,262983
Combsort,3000,426773
Combsort,4000,605107
Combsort,5000,785232
Combsort,6000,943128
Combsort,7000,1137657
Combsort,8000,1342938
Combsort,9000,1508207
Combsort,10000,1733895
Combsort,20000,3767253
Combsort,30000,5937621
Combsort,40000,8096419
Combsort,50000,10374512
Combsort,60000,12941109
Combsort,70000,14851681
Combsort,80000,17380442
Combsort,90000,20162857
Combsort,100000,22224174
Heapsort,3,57
Heapsort,4,96
Heapsort,5,124
Heapsort,6,166
Heapsort,7,192
Heapsort,8,245
Heapsort,9,286
Heapsort,10,335
Heapsort,20,830
Heapsort,30,1373
Heapsort,40,1977
Heapsort,50,2613
Heapsort,60,3262
Heapsort,70,3958
Heapsort,80,4645
Heapsort,90,5382
Heapsort,100,6096
Heapsort,200,13946
Heapsort,300,22484
Heapsort,400,31524
Heapsort,500,40583
Heapsort,600,50293
Heapsort,700,60235
Heapsort,800,69858
Heapsort,900,79975
Heapsort,1000,90080
Heapsort,2000,198167
Heapsort,3000,313678
Heapsort,4000,431427
Heapsort,5000,555678
