Rand/Sort,NAME,TIMES (length)...,OPS (length)...
Rand,Heapsort,TIMES-> (100),21148200,22489700,5883100,3177000,5838100,6765800,7693000,3463600,5121600,7094400,5532300,5360200,3703100,4403200,6795400,5231500,4281900,7322300,5083500,5324100,3925900,5321100,8732800,3832100,3364800,10042900,4560400,9161300,11051300,5147700,4934600,5250000,5946100,35888700,14527100,6349100,10163000,7678200,6691300,6074200,5679300,9137700,7352500,3968700,5884900,6813100,3840500,4701600,3817800,5576700,3997500,3552800,9833600,3108400,6603700,5877200,3622100,4927900,3814400,4580500,10890800,5188600,4559300,8703600,6221400,3750900,2862300,2919800,4500800,2387400,2397900,4817400,4297800,2368000,3714100,2366800,9967500,4871300,8711200,6560400,5359700,3488100,5372100,3924600,3982800,3371600,4468600,4868500,3210500,3366300,5226500,4459500,2555600,2757500,4119100,4767000,2354500,3132200,6008800,3363100,OPS-> (100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sort,Heapsort,TIMES-> (0),,OPS-> (0),,
